gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1326,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1327,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1328,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1329,16,8.27.21,9.9.21,10.14.21,,KL,M,N,Y,,
1330,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1331,16,8.27.21,8.29.21,,9.11.21,KL,,,Y,,
1332,16,8.27.21,9.2.21,9.27.21,,KL,F,Y,Y,,
1333,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1334,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1335,16,8.27.21,9.2.21,9.24.21,,KL,M,N,Y,,
1336,16,8.27.21,9.9.21,,9.21.21,KL,,,Y,,
1337,16,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1338,16,8.27.21,9.2.21,9.27.21,,KL,F,Y,Y,,
1339,118,8.19.21,9.2.21,9.26.21,,KL,M,N,Y,,
1340,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1341,118,8.19.21,,,,KL,,,,,
1342,118,8.19.21,9.2.21,9.26.21,,KL,M,Y,Y,,
1343,118,8.19.21,9.2.21,,9.11.21,KL,,,Y,,
1344,118,8.19.21,8.31.21,9.27.21,,KL,M,Y,Y,,
1345,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1346,118,8.19.21,9.1.21,9.29.21,,KL,M,N,Y,,
1347,118,8.19.21,9.9.21,,?,KL,,,Y,died before 9.24.21,
1348,118,8.19.21,9.8.21,9.29.21,9.9.21,KL,F,Y,Y,,
1349,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1350,118,8.19.21,9.9.21,,?,KL,,,Y,died before 9.24.21,
1351,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1352,118,8.19.21,8.31.21,9.29.21,,KL,M,N,Y,,
1353,118,8.19.21,9.1.21,9.28.21,,KL,F,N,Y,,
1354,118,8.19.21,9.2.21,9.29.21,,KL,M,Y,Y,,
1355,118,8.19.21,,,,KL,,,N,,
1356,118,8.19.21,8.31.21,9.29.21,,KL,F,N,Y,,
1357,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
gen1_ID,MID,collect_date,hatch_date,wing_date,death_date,pop,sex,S-wing,viable,notes,
1358,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1359,118,8.19.21,9.1.21,9.25.21,,KL,F,Y,Y,,
1360,118,8.19.21,8.31.21,9.29.21,,KL,M,N,Y,,
1361,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1362,118,8.19.21,8.31.21,9.28.21,,KL,F,Y,Y,,
1363,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1364,118,8.19.21,9.9.21,,10.04.21,KL,,,Y,10.2-10.4,
1365,118,8.19.21,9.9.21,10.06.21,,KL,M,N,Y,,
1366,118,8.19.21,9.9.21,10.04.21,,KL,F,Y,Y,,
1367,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1368,118,8.19.21,8.31.21,9.28.21,,KL,F,Y,Y,,
1369,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1370,118,8.19.21,9.2.21,9.28.21,,KL,M,Y,Y,,
1371,118,8.19.21,,,,KL,,,N,,
1372,118,8.19.21,9.9.21,,9.11.21,KL,,,Y,,
1373,118,8.19.21,8.31.21,9.26.21,,KL,F,Y,Y,,
1374,118,8.19.21,,,,KL,,,N,,
1375,118,8.19.21,,10.06.21,,KL,M,Y,Y,,
1376,118,8.19.21,9.9.21,10.06.21,,KL,F,Y,Y,,
1377,118,8.19.21,9.8.21,,9.9.21,KL,,,Y,,
1378,118,8.19.21,8.31.21,9.28.21,,KL,F,Y,Y,,
1379,119,8.27.21,,,,KL,,,N,,
1380,119,8.27.21,8.30.21,,?,KL,,,Y,died before 9.24.21,
1381,119,8.27.21,9.9.21,,?,KL,,,Y,died before 9.24.21,
1382,119,8.27.21,8.30.21,9.27.21,,KL,M,N,Y,,
1383,119,8.27.21,9.9.21,10.04.21,,KL,F,N,Y,10.2-10.4,
1384,119,8.27.21,9.9.21,10.11.21,,KL,M,N,Y,10.9-10.11,
1385,119,8.27.21,9.1.21,9.25.21,,KL,M,Y,Y,,
1386,119,8.27.21,8.29.21,9.28.21,,KL,M,N,Y,,
1387,119,8.27.21,9.9.21,10.04.21,,KL,M,Y,Y,,
1388,119,8.27.21,9.8.21,,9.9.21,KL,,,Y,,
1389,119,8.27.21,,,,KL,,,,,
